ID	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
SA.2	-0.3327	0.0368	0.2622	-0.1048	0.2743	0.1688	NA	0.0307	0.1306	-0.0713	0.3249	-0.1345	0.2614	0.0357	0.1873	0.1038	0.0585	NA	0.0132	0.2465	-0.0662	0.1111	-0.238	0.099	0.0542	0.099	0.3642	0.0619	-0.0083	0.2129	0.5242	0.0013
TN.M2	0.1819	0.2919	0.3753	0.093	-0.0638	-0.0625	0.2113	-0.0968	0.2302	NA	NA	-0.1107	-0.0346	-0.0362	0.0175	-0.1524	-0.1364	NA	0.0961	0.2953	-0.0367	0.0982	0.0118	-0.0286	0.0376	NA	0.2575	0.3266	-0.2453	0.1562	0.2591	NA
TZ	0.0868	-0.1532	-0.0768	-0.2088	0.0519	0.207	-0.2	0.0313	0.0931	NA	NA	-0.0522	-0.0258	-0.0266	-0.156	-0.0674	0.1169	NA	-0.0487	-0.2268	-0.0913	-0.3686	-0.3514	0.0508	0.1283	NA	-0.1519	0.1374	0.2366	0.3831	NA	NA
TZ.1	0.0868	-0.1532	-0.0768	-0.2088	0.0519	0.207	NA	0.0313	0.0931	-0.1625	-0.2549	-0.0522	-0.0258	-0.0266	-0.156	-0.0674	0.1169	NA	-0.0487	-0.2268	-0.0913	-0.3686	-0.3514	0.0508	0.1283	-0.1525	-0.1519	0.1374	0.2366	0.3831	NA	0.0652
UR	-0.1423	-0.2515	0.0118	0.0653	0.0133	0.2821	-0.1876	NA	NA	NA	NA	-0.3156	NA	0.148	0.0972	NA	0.4072	0.2464	-0.0682	-0.2102	-0.2033	-0.2603	-0.2682	0.0061	0.1702	NA	0.1634	-0.0289	0.1039	NA	0.1129	NA
UR.1	-0.1423	-0.2515	0.0118	0.0653	0.0133	0.2821	-0.1876	0.194	0.2426	-0.2593	-0.2303	-0.3156	0.3611	0.148	0.0972	0.2282	0.4072	NA	-0.0682	-0.2102	-0.2033	-0.2603	-0.2682	0.0061	0.1702	0.0584	0.1634	-0.0289	0.1039	-0.0205	0.1129	NA
VD	-0.2535	0.0643	-0.1779	-0.1755	0.0192	0.1642	0.0274	NA	NA	NA	NA	-0.2667	NA	-0.3743	-0.1881	NA	-0.1183	0.0432	0.147	-0.0833	-0.125	-0.2583	-0.2684	0.0772	-0.0433	NA	0.0118	0.0318	-0.0532	NA	0.0144	NA
VD.1	-0.2535	0.0643	-0.1779	-0.1755	0.0192	0.1642	NA	-0.0688	-0.0089	0.1827	0.0361	-0.2667	-0.28	-0.3743	-0.1881	-0.138	-0.1183	NA	0.147	-0.0833	-0.125	-0.2583	-0.2684	0.0772	-0.0433	0.0772	0.0118	0.0318	-0.0532	0.2184	0.0144	-0.0469
VN.J	-0.3326	0.0273	-0.0761	-0.1935	0.1413	0.4118	0.3478	-0.2103	0.0754	0.0779	-0.1759	0.1123	-0.3392	-0.1459	-0.491	-0.1532	-0.2312	NA	0.1067	-0.2642	-0.2038	-0.2698	-0.473	0.2779	0.2849	0.1575	0.218	0.1734	-0.3647	0.2256	0.3399	0.1758
XI	0.1255	-0.0594	-0.1991	-0.0974	-0.2129	-0.0843	0.107	NA	-0.0197	NA	NA	-0.0323	NA	-0.1089	-0.2544	-0.2358	-0.1472	NA	0.0144	-0.1673	-0.1093	-0.208	-0.4373	-0.0047	0.1032	NA	-0.1047	-0.0382	-0.053900000000000003	NA	-0.2529	NA
XI.1	0.1255	-0.0594	-0.1991	-0.0974	-0.2129	-0.0843	0.107	0.0795	-0.0197	-0.0174	-0.281	-0.0323	-0.2774	-0.1089	-0.2544	-0.2358	-0.1472	NA	0.0144	-0.1673	-0.1093	-0.208	-0.4373	-0.0047	0.1032	-0.0549	-0.1047	-0.0382	-0.053900000000000003	0.064	-0.2529	0.0557
YA	-0.3901	-0.1245	-0.0151	0.1386	-0.1417	-0.2515	0.0425	NA	0.0632	NA	NA	-0.0952	NA	-0.1258	-0.3716	-0.3641	-0.3281	NA	-0.0905	-0.1384	-0.1752	-0.068	-0.1995	0.0303	0.2408	NA	-0.0203	-0.155	-0.2644	NA	-0.0183	NA
YA.1	-0.3901	-0.1245	-0.0151	0.1386	-0.1417	-0.2515	0.0425	-0.1314	0.0632	0.1145	-0.2009	-0.0952	-0.3845	-0.1258	-0.3716	-0.3641	-0.3281	NA	-0.0905	-0.1384	-0.1752	-0.068	-0.1995	0.0303	0.2408	0.0303	-0.0203	-0.155	-0.2644	0.0976	-0.0183	NA
ZU	-0.184	0.0819	0.0994	-0.0114	-0.1039	-0.0533	-0.3403	0.0212	0.0733	NA	NA	-0.3639	0.1688	-0.0815	-0.1366	0.0185	-0.0832	NA	-0.2456	-0.3484	-0.1902	-0.1913	-0.2146	0.0938	0.1583	NA	0.0376	-0.0013	-0.0738	0.1631	0.0962	NA
ZU.1	-0.184	0.0819	0.0994	-0.0114	-0.1039	-0.0533	NA	0.0212	0.0733	-0.305	-0.1636	-0.3639	0.1688	-0.0815	-0.1366	0.0185	-0.0832	NA	-0.2456	-0.3484	-0.1902	-0.1913	-0.2146	0.0938	0.1583	-0.1894	0.0376	-0.0013	-0.0738	0.1631	0.0962	-0.1301
