ID	AG	AM	ANA2	AR	BA	BE	BLK	BR	BS	CO	DA	DB	DD	DI	ER	FE	FI	FS	GA	GD-N	GL	GU	HC	HE	HO	HR	IJ	IN	IV	IZ	JR	JU	KA	KI-M2	MD-J	MO	MY-M2	NE	NI	NO	NR	NY	OL-N	PB	PE	PL	PO	RB	RN-M2	RT-J	SA	TH	TL	TN-M2	TO	TU	TZ	UR	VD	VN-J	XI	YA	YN	ZU
ER	0.0029	-0.1882	-0.1806	-0.0569	0.4622	-0.2383	-0.1238	0.0653	-0.1847	-0.3918	-0.275	-0.1831	-0.1179	-0.1169	1	-0.1841	0.0187	-0.0875	0.0047	-0.1748	-0.0528	-0.1016	-0.0267	-0.0097	0.0807	0.0258	-0.145	-0.0832	-0.2853	0.0194	-0.1958	-0.2016	-0.0724	0.1154	0.1333	-0.1886	0.0653	-0.0488	0.4049	0.047	-0.0277	0.2105	-0.082	0.0938	-0.0101	-0.1337	-0.0761	-0.0756	0.118	-0.1302	0.0307	0.2768	0.4094	-0.0968	0.2154	-0.1862	0.0313	0.194	-0.0688	-0.2103	0.0795	-0.1314	-0.2491	0.0212
FE	-0.0396	0.1601	-0.3603	-0.2124	-0.1817	0.1233	0.2416	-0.1692	0.0041	-0.0902	0.0796	-0.2285	-0.1532	-0.1014	-0.1841	1	0.5477	0.4361	-0.3891	0.2601	-0.2075	-0.2496	-0.0103	-0.0507	0.1029	-0.1784	-0.1346	0.0698	0.2103	-0.319	0.2274	0.2967	0.0936	-0.0932	-0.0671	-0.0839	-0.0267	-0.1876	-0.0657	-0.1157	-0.012	-0.0358	-0.0657	-0.0588	0.1261	0.3284	0.4118	0.1768	0.4281	0.237	-0.2668	0.134	-0.113	-0.024	0.1875	-0.1732	-0.1465	0.0623	0.082	0.0416	-0.0508	0.085	-0.2379	-0.015
FI	0.125	0.2961	-0.2463	-0.0039	-0.0187	0.2663	0.0986	-0.1834	-0.0181	0.0861	0.1663	-0.0733	-0.1204	-0.0639	0.0187	0.5477	1	0.2913	-0.0974	-0.024	0	-0.0518	0.0689	0.1661	0.0241	0.1318	0.0986	0.3216	0.4142	-0.099	0.0511	-0.0998	0.2183	-0.108	0.1854	0.0838	-0.0474	0.149	0.078	-0.0154	-0.1236	0.0503	0.0237	-0.0222	0.156	-0.0825	0.0914	0.0918	0.3921	0.0934	0.1306	0.3307	-0.0765	0.2302	0.3183	0.0938	0.0931	0.2426	-0.0089	0.0754	-0.0197	0.0632	-0.0736	0.0733
FS	0.0029	0.2439	-0.2427	-0.0013	-0.2549	-0.0132	-0.2924	-0.3282	-0.2975	-0.0559	-0.0533	-0.1268	-0.1645	0.1065	-0.0875	0.4361	0.2913	1	-0.1944	-0.1237	0.3351	-0.0492	-0.2712	-0.2473	-0.1356	0.1882	-0.1042	-0.1283	0.1821	-0.3844	-0.0463	-0.0971	-0.0236	0.1154	-0.1375	-0.0514	-0.1546	0.4506	0.1885	-0.0721	-0.1679	0.2105	-0.4066	-0.0761	-0.0101	-0.0257	0.2637	0.0376	0.0078	-0.1302	-0.0713	0.1656	-0.0738	0.0129	0.0061	0.1527	-0.1625	-0.2593	0.1827	0.0779	-0.0174	0.1145	-0.1896	-0.305
GA	-0.1268	0.0603	-0.2362	0.0345	0.1864	0.0754	-0.2308	-0.1801	0.1765	-0.1979	-0.2157	-0.0795	-0.2515	-0.1219	0.0047	-0.3891	-0.0974	-0.1944	1	-0.3157	0.49370000000000003	0.5184	0.0973	0.137	-0.2379	0.0585	-0.2234	-0.2993	-0.2221	-0.2606	-0.0563	-0.1514	-0.3052	-0.4396	-0.1406	-0.1451	0.0951	0.0795	0.1084	0.1888	0.0913	0.3238	0.2074	-0.0331	-0.1269	0.0606	-0.1364	-0.1359	-0.2094	-0.2888	0.1082	-0.0671	0.0653	-0.0533	-0.0086	0.0209	-0.1636	-0.2062	-0.1358	-0.1546	-0.2084	-0.1348	-0.2962	-0.0451
GD-N	-0.2765	-0.0658	0.1899	-0.4089	-0.2833	0.1031	0.1045	-0.069	0.1012	0.0011	0.1678	-0.3201	-0.0152	0.0573	-0.1748	0.2601	-0.024	-0.1237	-0.3157	1	-0.2998	-0.1852	0.122	0.0568	0.187	-0.3222	-0.014	0.1004	0.1805	-0.1337	-0.0349	0.2129	0.3549	-0.1346	0.0839	0.1762	0.1226	-0.3201	-0.22	-0.2794	-0.2393	-0.3375	0.2375	0.0978	0.1056	0.4419	0.4693	0.4165	0.1722	0.2586	-0.0101	0.0607	-0.1609	-0.0813	-0.0342	-0.1117	-0.1396	0.2395	0.0055	0.083	0.0379	0.2099	0.1111	-0.0726
GL	-0.0826	0.2846	-0.0794	-0.0208	0.0238	0.139	-0.2032	-0.251	-0.0355	0.1216	-0.1302	-0.0916	-0.3728	-0.0249	-0.0528	-0.2075	0	0.3351	0.49370000000000003	-0.2998	1	0.3055	0.0552	0.0905	-0.1571	0.4485	-0.1199	-0.2378	0.225	-0.2359	-0.1152	-0.064	-0.2393	-0.2575	-0.0487	-0.1147	-0.1769	0.5935	0.2834	0.2703	0.0504	0.464	0.118	-0.0975	-0.2588	-0.0451	0.0758	0.134	-0.2924	-0.2103	0.3249	-0.0208	0.0154	0.1057	-0.0121	0.3087	-0.2549	-0.2303	0.0361	-0.1759	-0.281	-0.2009	-0.4573	-0.1636
GU	-0.0766	0.0098	-0.0736	-0.1797	-0.2065	0.078	-0.1912	0	0.076	0.0701	-0.0154	0.0772	0.0064	0.1926	-0.1016	-0.2496	-0.0518	-0.0492	0.5184	-0.1852	0.3055	1	-0.0888	0.029	-0.0958	-0.0445	-0.2338	-0.2704	-0.2367	-0.3883	0.0358	-0.2618	-0.4159	-0.0309	-0.2544	-0.1088	-0.0605	0.0336	0.1126	0.0837	-0.087	0.1358	-0.044	-0.0912	-0.1356	-0.094	-0.0912	-0.0908	-0.1694	-0.4156	-0.1345	0.0348	0.0672	-0.1107	0.0904	-0.0884	-0.0522	-0.3156	-0.2667	0.1123	-0.0323	-0.0952	-0.0295	-0.3639
HC	0.006	-0.1177	0.1738	-0.048	0.202	0.2939	0.0936	-0.0719	0.3936	-0.0481	0.0051	-0.2114	-0.1899	-0.1518	-0.0267	-0.0103	0.0689	-0.2712	0.0973	0.122	0.0552	-0.0888	1	0.6296	0.1243	0.4157	0.3589	0.3806	0.3222	0.2783	0.006	0.1511	0.2471	-0.4592	-0.1207	-0.2533	0.1111	0.1397	-0.0221	-0.114	0.1478	0.1454	0.4646	-0.1157	-0.0562	0.3685	0.1886	0.4931	0.1585	0.1902	0.2614	0.0519	0.1782	-0.0346	-0.0859	0.0387	-0.0258	0.3611	-0.28	-0.3392	-0.2774	-0.3845	-0.3245	0.1688
HE	0.103	-0.1792	0.1059	-0.2788	0.1436	0.2598	0.0149	0.1477	0.3198	0.0146	0.09	-0.0497	-0.0545	-0.0397	-0.0097	-0.0507	0.1661	-0.2473	0.137	0.0568	0.0905	0.029	0.6296	1	0.4686	0.4681	0.1266	0.369	0.2289	0.1129	0.1899	0.2039	0.3144	-0.4724	0.1719	-0.2795	-0.0221	0.1878	-0.1223	0.1467	0.0429	0.1402	0.3503	-0.3663	-0.0451	0.2339	0.2547	0.3172	-0.0853	0.1946	0.2242	0.0257	0.0041	0.0407	-0.0819	0.133	-0.005	0.3442	-0.3936	-0.3294	-0.2051	-0.4382	-0.3108	-0.1285
